,name,price,supply,link
108," Плавкая вставка ВПБ6-8 1,25А 250 В, 5×20 (10 шт.), Предохранитель ...",220,294 упак.,/product0/9000339434
109," Плавкая вставка ВПБ6-9 1,6А 250 В, 5×20 (10 шт.), Предохранитель ...",220,273 упак.,/product0/9000339435
110," Плавкая вставка ВПТ6-1 0,16А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",260,115 упак.,/product0/9000339441
111," Плавкая вставка ВПТ6-10 2А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",270,2 упак.,/product0/9000339442
112," Плавкая вставка ВПТ6-11 3,15А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,505 упак.,/product0/9000339443
113," Плавкая вставка ВПТ6-12 4А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,201 упак.,/product0/9000339444
114," Плавкая вставка ВПТ6-13 5А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,479 упак.,/product0/9000339445
115," Плавкая вставка ВПТ6-2 0,25А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,102 упак.,/product0/9000339446
116," Плавкая вставка ВПТ6-4 0,4А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",210,56 упак.,/product0/9000339448
117," Плавкая вставка ВПТ6-5 0,5А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,1 шт.,/product0/9000339449
118," Плавкая вставка ВПТ6-6 0,63А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,283 упак.,/product0/9000339450
119," Плавкая вставка ВПТ6-7 1А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,30 упак.,/product0/9000339451
120," Плавкая вставка ВПТ6-8 1,25А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,351 упак.,/product0/9000339452
121," Плавкая вставка ВПТ6-9 1,6А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,275 упак.,/product0/9000339453
122," Плавкая вставка Н520Б 10А 250 В, 5×20 (10 шт.), Предохранитель быстродействующий ...",250,949 упак.,/product0/9000339436
123," Плавкая вставка Н520Б 12А 250 В, 5×20 (10 шт.), Предохранитель быстродействующий ...",260,33 шт.,/product0/9000339437
