<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,210927,000000,9358.84,9414.99,9349.17,9407.26,55713268103
MOEXOG,D,210928,000000,9514.99,9582.4,9397.65,9463.72,71617623273
MOEXOG,D,210929,000000,9369.89,9510.4,9351.79,9481.93,43048380968
MOEXOG,D,210930,000000,9542.49,9607.65,9496.05,9558.27,52901417454
MOEXOG,D,211001,000000,9470.64,9562.49,9470.64,9534.33,32480225453
MOEXOG,D,211004,000000,9600.16,9697.25,9593.06,9697.25,75091961001
MOEXOG,D,211005,000000,9758.44,10063.25,9758.44,10024.82,87496678985
MOEXOG,D,211006,000000,10148.74,10165.75,9743.34,9784.83,99981142174
MOEXOG,D,211007,000000,9898.28,9898.28,9644.3,9810.65,78335002972
MOEXOG,D,211008,000000,9790.96,9872.42,9764.99,9783.61,43780957525
MOEXOG,D,211011,000000,9807.3,9862.83,9782.63,9826.26,44617879956
MOEXOG,D,211012,000000,9771.29,9864.41,9764.04,9864.12,35265233035
MOEXOG,D,211013,000000,9842.48,9848.51,9555.32,9745.53,55286506157
MOEXOG,D,211014,000000,9840.4,9858.8,9762.6,9762.6,38279144337
MOEXOG,D,211015,000000,9840.92,9862.25,9776.15,9852.87,31367651127
MOEXOG,D,211018,000000,9851.74,9868.78,9768.25,9815.06,29647613118
MOEXOG,D,211019,000000,9806.06,9834.38,9746.88,9827.87,32158233422
MOEXOG,D,211020,000000,9823.86,9885.46,9791.29,9882.04,29762448205
MOEXOG,D,211021,000000,9856.1,9882.44,9665.34,9684.16,32119858593
MOEXOG,D,211022,000000,9675.95,9747.86,9620.82,9620.82,27718288344
MOEXOG,D,211025,000000,9691.73,9809.95,9607.4,9809.95,40710073613
MOEXOG,D,211026,000000,9798.61,9840.86,9756.24,9757.71,36625948913
MOEXOG,D,211027,000000,9683.01,9737.09,9601.86,9642.75,26797158857
MOEXOG,D,211028,000000,9570.65,9596.01,9426.96,9504.65,54024664555
MOEXOG,D,211029,000000,9518.76,9531.86,9349.36,9452.83,43519675526
MOEXOG,D,211101,000000,9462.04,9581.93,9457.51,9564.98,25926146663
MOEXOG,D,211102,000000,9625.8,9650.93,9432.7,9467.2,29683391277
MOEXOG,D,211103,000000,9417.91,9418.61,9308.16,9347.03,22943906592
