<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,D,220831,000000,60,60.6375,59.605,60.2525,936614000
USD000000TOD,D,220901,000000,60.15,60.45,59.9075,60.18,689478000
USD000000TOD,D,220902,000000,60.2975,60.4475,60.17,60.4,681353000
USD000000TOD,D,220906,000000,61,61.0525,60.6125,60.9825,705182000
USD000000TOD,D,220907,000000,61.05,61.55,60.85,60.89,806870000
USD000000TOD,D,220908,000000,61.0575,61.2,60.5,60.6575,653251000
USD000000TOD,D,220909,000000,61.0725,61.0725,60.25,60.5225,687410000
USD000000TOD,D,220912,000000,61,61.0325,60.075,60.2275,827076000
USD000000TOD,D,220913,000000,60.2825,60.5425,59.6475,59.905,730755000
USD000000TOD,D,220914,000000,61,61,59.5475,59.68,962583000
USD000000TOD,D,220915,000000,60,60.18,59.4475,60.0625,858178000
USD000000TOD,D,220916,000000,59.9475,60.275,59.8,60.1325,856087000
USD000000TOD,D,220919,000000,60,60.9,59.9475,60.25,989514000
USD000000TOD,D,220920,000000,60.41,60.44,59.9,60.37,855174000
USD000000TOD,D,220921,000000,61,62.7675,60.265,60.42,986747000
USD000000TOD,D,220922,000000,60.8,61.2375,58.5,58.7475,1152729000
USD000000TOD,D,220923,000000,59.0925,60,56.64,57.2475,1378376000
USD000000TOD,D,220926,000000,58.47,58.98,57.475,57.97,1124248000
USD000000TOD,D,220927,000000,58.6,59.17,57.8825,58.395,926536000
USD000000TOD,D,220928,000000,58.505,58.93,57.97,57.9725,1424180000
USD000000TOD,D,220929,000000,57.5775,58.205,56.55,57.2975,1491407000
USD000000TOD,D,220930,000000,56.9325,59,53.64,58.8625,1836444000
USD000000TOD,D,221003,000000,58.265,59.7025,56.85,59.0125,1339396000
USD000000TOD,D,221004,000000,59.1275,59.85,58.4075,59.1525,970332000
USD000000TOD,D,221005,000000,59,60.45,57.4,60.05,767941000
USD000000TOD,D,221006,000000,60.495,60.96,59.7,60.86,947005000
USD000000TOD,D,221007,000000,60.9,61.92,60.305,61.405,1100272000
USD000000TOD,D,221011,000000,63.72,65.2625,62.6525,64.73,1281869000
USD000000TOD,D,221012,000000,64.025,65.0975,63.5175,63.7,1340444000
USD000000TOD,D,221013,000000,64.055,64.435,62.745,63.6,1365476000
USD000000TOD,D,221014,000000,63.4975,63.805,62.16,62.16,1623871000
USD000000TOD,D,221017,000000,62.26,62.75,61.3775,61.95,1017429000
USD000000TOD,D,221018,000000,61.9,62.4125,61.45,61.525,800587000
USD000000TOD,D,221019,000000,61.6225,62.1275,61.35,61.7425,1108971000
USD000000TOD,D,221020,000000,61.6275,62.0675,61.15,61.3975,853026000
USD000000TOD,D,221021,000000,61.4225,61.745,60.6925,61.115,825810000
USD000000TOD,D,221024,000000,61.4,61.6,60.91,61.2,715982000
USD000000TOD,D,221025,000000,61.3925,61.55,61.16,61.335,933572000
USD000000TOD,D,221026,000000,61.595,62,61.26,61.3625,676233000
USD000000TOD,D,221027,000000,61.68,61.8525,61.1475,61.4475,779796000
USD000000TOD,D,221028,000000,61.675,61.81,61.36,61.6975,863727000
USD000000TOD,D,221031,000000,61.6025,61.9075,61.3,61.3975,827062000
USD000000TOD,D,221101,000000,61.6,61.84,61.2,61.45,586900000
USD000000TOD,D,221102,000000,61.345,61.7725,61.345,61.6475,745937000
USD000000TOD,D,221103,000000,61.73,62.9325,61.73,61.8075,795234000
USD000000TOD,D,221107,000000,62.2925,62.2925,60.8625,61.1,1171567000
USD000000TOD,D,221108,000000,61.1175,61.475,60.6775,60.9475,688673000
USD000000TOD,D,221109,000000,61.0525,61.395,60.835,61.395,571675000
USD000000TOD,D,221110,000000,61.405,61.8475,60.3275,61,726756000
USD000000TOD,D,221114,000000,60.8925,60.8925,60,60.5225,817099000
USD000000TOD,D,221115,000000,60.62,60.73,60.0925,60.175,762802000
USD000000TOD,D,221116,000000,60.6625,60.6675,60.02,60.1425,694682000
USD000000TOD,D,221117,000000,60.4575,60.55,60.305,60.46,704504000
USD000000TOD,D,221118,000000,60.5475,60.6775,60.24,60.5625,566177000
USD000000TOD,D,221121,000000,60.6,60.9875,60.385,60.7725,609808000
USD000000TOD,D,221122,000000,60.97,60.99,60.5175,60.58,637602000
USD000000TOD,D,221123,000000,60.68,60.7675,60.25,60.545,783418000
USD000000TOD,D,221125,000000,60.8,60.9925,60.3375,60.63,688027000
USD000000TOD,D,221128,000000,60.61,61.1975,60.505,61.1975,509273000
USD000000TOD,D,221129,000000,61.095,61.3675,60.775,60.79,720547000
USD000000TOD,D,221130,000000,61,61.13,60.71,60.89,608619000
