<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,210415,000000,230.1,236.39,228.23,234.63,62531120
GAZP,D,210416,000000,235.49,237.45,232.7,235.1,46181390
GAZP,D,210419,000000,234.74,234.9,230.28,231.17,39712830
GAZP,D,210420,000000,231.58,233.17,229,230,43916060
GAZP,D,210421,000000,229.93,231.8,228.37,230.84,35493950
GAZP,D,210422,000000,230.68,232.15,227.14,230.93,60338620
GAZP,D,210423,000000,231.3,233.3,230,232.62,35447230
GAZP,D,210426,000000,233.02,234.91,232.16,233.23,28695180
GAZP,D,210427,000000,233.5,235.14,231.21,232,29275690
GAZP,D,210428,000000,232.55,233.24,230.2,232.96,37443310
GAZP,D,210429,000000,234.08,236.18,229,230.51,55599370
GAZP,D,210430,000000,230.11,231.6,228.86,231.38,32069550
GAZP,D,210504,000000,232.2,234.3,230.96,233.8,37916850
GAZP,D,210505,000000,234.21,237.77,233.69,237.5,38141220
GAZP,D,210506,000000,237.9,243.32,237.75,243,50375470
GAZP,D,210507,000000,243.49,243.99,240.78,241.7,37128000
GAZP,D,210510,000000,242.35,244.3,240.52,241.41,32389560
GAZP,D,210511,000000,240.2,243.17,239.05,242.5,35809800
GAZP,D,210512,000000,242.11,244.42,241.56,241.79,33270270
GAZP,D,210513,000000,242.25,247.29,242.05,247.16,64157170
GAZP,D,210514,000000,248,250.4,247.53,249.55,50267520
GAZP,D,210517,000000,250,255.25,249.45,255.15,41074310
GAZP,D,210518,000000,256.11,268.38,254.54,266.22,86151870
GAZP,D,210519,000000,263.9,264.5,256,260.9,93197170
GAZP,D,210520,000000,260.8,262.78,256.9,259.16,46502970
GAZP,D,210521,000000,260.04,260.7,257.12,258,29037660
GAZP,D,210524,000000,258.69,261.47,257.12,261.24,24616020
GAZP,D,210525,000000,262.33,262.72,258.31,259.79,30568090
GAZP,D,210526,000000,260.52,263.33,260.01,263.09,34571110
GAZP,D,210527,000000,261.98,263.75,261.22,262.96,57534350
GAZP,D,210528,000000,263.79,265.93,261.35,262,35266300
GAZP,D,210531,000000,261,261.6,259.3,261.03,21367010
GAZP,D,210601,000000,261.97,264.76,261.58,263.86,32746740
GAZP,D,210602,000000,264.05,271.36,263.55,271.15,53327960
GAZP,D,210603,000000,272.33,274.3,268.2,272.1,52795050
GAZP,D,210604,000000,271.92,276.22,269.58,274.3,54381240
GAZP,D,210607,000000,274.05,276.7,273.85,275.67,34226150
GAZP,D,210608,000000,275.5,277.58,272.91,275.36,53072570
GAZP,D,210609,000000,275.93,276.39,273.76,275.65,28255880
GAZP,D,210610,000000,275.4,277.77,274.32,276.1,37243570
GAZP,D,210611,000000,276.58,278,274.85,277.05,26611040
GAZP,D,210614,000000,277.62,280.45,277.22,279.5,28175830
GAZP,D,210615,000000,279.92,280.14,272.63,272.72,52220420
GAZP,D,210616,000000,272.99,275.23,270.12,271.8,67245290
GAZP,D,210617,000000,270.9,273.89,269.1,272.5,43611060
GAZP,D,210618,000000,271.61,273.18,268.65,270.06,52681210
GAZP,D,210621,000000,269.77,272.86,268.09,272.62,27431480
GAZP,D,210622,000000,273.52,277,272.89,277,36914430
GAZP,D,210623,000000,277.89,279.56,276.67,277.35,33546790
GAZP,D,210624,000000,278.2,279.47,275.5,277.47,42556030
GAZP,D,210625,000000,277.8,277.92,276.12,277.19,29702030
GAZP,D,210628,000000,277.23,279.61,276.43,276.99,28083560
GAZP,D,210629,000000,276.12,277.5,273.17,276.8,37588780
GAZP,D,210630,000000,277.28,281.82,276.5,281.8,60312970
GAZP,D,210701,000000,281.88,286.25,281.88,285.74,50045350
GAZP,D,210702,000000,285.7,286.19,282.8,285.65,29285170
GAZP,D,210705,000000,286,291.49,285.78,291.1,34201020
GAZP,D,210706,000000,292,295.97,291.34,293.45,80345400
GAZP,D,210707,000000,293.85,297.48,293.47,297.39,67043710
GAZP,D,210708,000000,296.45,297,290.33,292.86,52704630
GAZP,D,210709,000000,293.51,295.58,292,295.22,40962550
GAZP,D,210712,000000,295.53,298.48,294.9,297.39,43336120
GAZP,D,210713,000000,297.77,297.77,293,293.83,49180620
GAZP,D,210714,000000,282.88,286.93,282.88,284.6,52516030
GAZP,D,210715,000000,284.58,285.11,278.96,280.01,41716630
GAZP,D,210716,000000,279.38,282,278,279.65,27958640
GAZP,D,210719,000000,277.26,279.51,273.15,275.51,42536580
GAZP,D,210720,000000,276.79,278.68,273.1,277.3,31024530
GAZP,D,210721,000000,277.54,285.01,276,282.9,41055170
GAZP,D,210722,000000,283.5,285.09,281.21,283.28,40212130
GAZP,D,210723,000000,283.08,285,279.05,279.51,38260370
GAZP,D,210726,000000,277.37,281.37,276.7,281.05,27353690
GAZP,D,210727,000000,280.19,280.83,276.84,278.08,28452110
GAZP,D,210728,000000,278.05,282.98,277.7,282.2,32789740
GAZP,D,210729,000000,283.97,287.75,283.58,287,41127080
GAZP,D,210730,000000,285.37,287.58,283.28,287.35,46696620
GAZP,D,210802,000000,287.88,289.48,285.21,286.75,38297270
GAZP,D,210803,000000,286.77,288.05,284.34,287.09,27065240
GAZP,D,210804,000000,287.89,288.8,286,287.94,23599750
GAZP,D,210805,000000,287.31,288.28,285.16,285.95,47254880
GAZP,D,210806,000000,285.26,285.72,277.87,282.27,90600850
GAZP,D,210809,000000,282.23,287.9,280.8,286.68,68779100
GAZP,D,210810,000000,288,288.8,285.7,288.61,28839550
GAZP,D,210811,000000,288.92,291.49,287.12,290.35,37928360
GAZP,D,210812,000000,290.25,293.81,290.25,293.23,37564370
GAZP,D,210813,000000,292.65,293.9,291.75,292.7,21802270
GAZP,D,210816,000000,291.47,295.48,290.95,295.1,32273890
GAZP,D,210817,000000,295.13,299.5,290.32,298.32,50482060
GAZP,D,210818,000000,299,299.95,295,295.05,35531240
GAZP,D,210819,000000,293.49,294.72,289.68,293.68,55911470
GAZP,D,210820,000000,293.79,294.9,289.5,292.57,38594640
GAZP,D,210823,000000,294.7,297.94,294.1,297.69,38038340
GAZP,D,210824,000000,299,301,295.95,298.7,48940480
GAZP,D,210825,000000,298.71,299.2,294.37,296.7,30906470
GAZP,D,210826,000000,295.92,295.97,293.04,294.34,24990510
GAZP,D,210827,000000,295.81,300,294.81,299.66,34063060
GAZP,D,210830,000000,301.66,305.5,299.97,305.17,69849150
GAZP,D,210831,000000,305.83,307.67,304.1,305.65,64318080
GAZP,D,210901,000000,306.6,313.95,306.19,312.89,79410570
GAZP,D,210902,000000,313.59,314.8,310.3,312.3,53349820
GAZP,D,210903,000000,312.7,317.96,311.16,317.94,63637790
GAZP,D,210906,000000,319,329.35,318.6,328.93,80141350
